“Country”,“Year”,“Age”,“Sex”,“N_of_people_convicted”,“Mid_year_population_estimate”
"SCO",1992,20,Male,1700,38134
"SCO",1992,21,Male,1650,40289
"SCO",1992,22,Male,1600,39703
"SCO",1992,23,Male,1550,40597
"SCO",1992,24,Male,1500,40788
"SCO",1992,25,Male,1450,41448
"SCO",1992,26,Male,1400,39856
"SCO",1992,27,Male,1350,41495
"SCO",1992,28,Male,1300,40917
"SCO",1992,29,Male,1250,40120
"SCO",1992,30,Male,1200,40049
"SCO",1992,31,Male,1150,39672
"SCO",1992,32,Male,1100,39076
"SCO",1992,33,Male,1050,37902
"SCO",1992,34,Male,1000,36470
"SCO",1992,35,Male,950,35635
"SCO",1992,36,Male,900,35516
"SCO",1992,37,Male,850,33756
"SCO",1992,38,Male,800,33774
"SCO",1992,39,Male,750,33204
"SCO",1992,40,Male,700,31819
"SCO",1992,41,Male,650,33128
"SCO",1992,42,Male,600,33543
"SCO",1992,43,Male,550,34740
"SCO",1992,44,Male,500,36280
"SCO",1992,45,Male,450,39522
"SCO",1992,46,Male,400,30645
"SCO",1992,47,Male,350,29401
"SCO",1992,48,Male,349,30440
"SCO",1992,49,Male,348,29679
"SCO",1992,50,Male,347,27825
"SCO",1992,51,Male,346,26350
"SCO",1992,52,Male,345,27444
"SCO",1992,53,Male,344,27549
"SCO",1992,54,Male,343,27517
"SCO",1992,55,Male,342,26789
"SCO",1992,56,Male,341,26579
"SCO",1992,57,Male,340,26064
"SCO",1992,58,Male,339,25654
"SCO",1992,59,Male,338,25129
"SCO",1992,60,Male,337,25721
"SCO",1992,61,Male,336,25459
"SCO",1992,62,Male,335,24803
"SCO",1992,63,Male,334,24383
"SCO",1992,64,Male,333,23366
"SCO",1992,65,Male,332,23129
"SCO",1992,66,Male,331,23302
"SCO",1992,67,Male,330,21959
"SCO",1992,68,Male,329,21287
"SCO",1992,69,Male,328,20044
"SCO",1992,70,Male,327,20520
"SCO",1992,71,Male,326,19601
"SCO",1992,72,Male,325,19606
"SCO",1992,73,Male,324,12913
"SCO",1992,74,Male,323,11955
"SCO",1992,75,Male,322,12099
"SCO",1992,76,Male,321,11929
"SCO",1992,77,Male,320,11955
"SCO",1992,78,Male,319,10870
"SCO",1992,79,Male,318,9981
"SCO",1992,80,Male,317,8729
"SCO",1992,81,Male,316,7667
"SCO",1992,82,Male,315,6785
"SCO",1992,83,Male,314,5687
"SCO",1992,84,Male,313,4801
"SCO",1992,85,Male,312,3808
"SCO",1992,86,Male,311,3166
"SCO",1992,87,Male,310,2518
"SCO",1992,88,Male,309,2026
"SCO",1992,89,Male,308,1514
"SCO",1992,90 & over,Male,307,3704
"SCO",1993,16,Male,1400,29604
"SCO",1993,17,Male,1500,31600
"SCO",1993,18,Male,1600,31772
"SCO",1993,19,Male,1700,33546
"SCO",1993,20,Male,1800,36328
"SCO",1993,21,Male,1750,38106
"SCO",1993,22,Male,1700,39963
"SCO",1993,23,Male,1650,39220
"SCO",1993,24,Male,1600,40034
"SCO",1993,25,Male,1550,40357
"SCO",1993,26,Male,1500,41145
"SCO",1993,27,Male,1450,39641
"SCO",1993,28,Male,1400,41283
"SCO",1993,29,Male,1350,40678
"SCO",1993,30,Male,1300,40002
"SCO",1993,31,Male,1250,40024
"SCO",1993,32,Male,1200,39590
"SCO",1993,33,Male,1150,38984
"SCO",1993,34,Male,1100,37871
"SCO",1993,35,Male,1050,36509
"SCO",1993,36,Male,1000,35689
"SCO",1993,37,Male,950,35481
"SCO",1993,38,Male,900,33791
"SCO",1993,39,Male,850,33846
"SCO",1993,40,Male,800,33275
"SCO",1993,41,Male,750,31867
"SCO",1993,42,Male,700,33143
"SCO",1993,43,Male,650,33599
"SCO",1993,44,Male,600,34743
"SCO",1993,45,Male,550,36238
"SCO",1993,46,Male,500,39509
"SCO",1993,47,Male,450,30630
"SCO",1993,48,Male,449,29328
"SCO",1993,49,Male,448,30419
"SCO",1993,50,Male,447,29593
"SCO",1993,51,Male,446,27734
"SCO",1993,52,Male,445,26264
"SCO",1993,53,Male,444,27334
"SCO",1993,54,Male,443,27413
"SCO",1993,55,Male,442,27372
"SCO",1993,56,Male,441,26609
"SCO",1993,57,Male,440,26363
"SCO",1993,58,Male,439,25776
"SCO",1993,59,Male,438,25348
"SCO",1993,60,Male,437,24780
"SCO",1993,61,Male,436,25318
"SCO",1993,62,Male,435,24998
"SCO",1993,63,Male,434,24264
"SCO",1993,64,Male,433,23800
"SCO",1993,65,Male,432,22777
"SCO",1993,66,Male,431,22463
"SCO",1993,67,Male,430,22520
"SCO",1993,68,Male,429,21152
"SCO",1993,69,Male,428,20445
"SCO",1993,70,Male,427,19142
"SCO",1993,71,Male,426,19559
"SCO",1993,72,Male,425,18653
"SCO",1993,73,Male,424,18495
"SCO",1993,74,Male,423,12096
"SCO",1993,75,Male,422,11061
"SCO",1993,76,Male,421,11157
"SCO",1993,77,Male,420,10969
"SCO",1993,78,Male,419,10890
"SCO",1993,79,Male,418,9848
"SCO",1993,80,Male,417,8984
"SCO",1993,81,Male,416,7755
"SCO",1993,82,Male,415,6746
"SCO",1993,83,Male,414,5934
"SCO",1993,84,Male,413,4920
"SCO",1993,85,Male,412,4070
"SCO",1993,86,Male,411,3186
"SCO",1993,87,Male,410,2603
"SCO",1993,88,Male,409,2028
"SCO",1993,89,Male,408,1608
"SCO",1993,90 & over,Male,407,3936
"SCO",1994,16,Male,1500,29555
"SCO",1994,17,Male,1600,29331
"SCO",1994,18,Male,1700,31405
"SCO",1994,19,Male,1800,32578
"SCO",1994,20,Male,1900,33973
"SCO",1994,21,Male,1850,36332
"SCO",1994,22,Male,1800,37911
"SCO",1994,23,Male,1750,39375
"SCO",1994,24,Male,1700,38769
"SCO",1994,25,Male,1650,39633
"SCO",1994,26,Male,1600,39979
"SCO",1994,27,Male,1550,41016
"SCO",1994,28,Male,1500,39506
"SCO",1994,29,Male,1450,41123
"SCO",1994,30,Male,1400,40524
"SCO",1994,31,Male,1350,40025
"SCO",1994,32,Male,1300,39974
"SCO",1994,33,Male,1250,39509
"SCO",1994,34,Male,1200,38911
"SCO",1994,35,Male,1150,37883
"SCO",1994,36,Male,1100,36597
"SCO",1994,37,Male,1050,35821
"SCO",1994,38,Male,1000,35498
"SCO",1994,39,Male,950,33837
"SCO",1994,40,Male,900,33964
"SCO",1994,41,Male,850,33284
"SCO",1994,42,Male,800,31994
"SCO",1994,43,Male,750,33171
"SCO",1994,44,Male,700,33685
"SCO",1994,45,Male,650,34759
"SCO",1994,46,Male,600,36251
"SCO",1994,47,Male,550,39452
"SCO",1994,48,Male,549,30627
"SCO",1994,49,Male,548,29270
"SCO",1994,50,Male,547,30352
"SCO",1994,51,Male,546,29538
"SCO",1994,52,Male,545,27654
"SCO",1994,53,Male,544,26134
"SCO",1994,54,Male,543,27208
"SCO",1994,55,Male,542,27236
"SCO",1994,56,Male,541,27155
"SCO",1994,57,Male,540,26356
"SCO",1994,58,Male,539,26114
"SCO",1994,59,Male,538,25498
"SCO",1994,60,Male,537,25010
"SCO",1994,61,Male,536,24432
"SCO",1994,62,Male,535,24861
"SCO",1994,63,Male,534,24477
"SCO",1994,64,Male,533,23682
"SCO",1994,65,Male,532,23204
"SCO",1994,66,Male,531,22055
"SCO",1994,67,Male,530,21708
"SCO",1994,68,Male,529,21682
"SCO",1994,69,Male,528,20282
"SCO",1994,70,Male,527,19598
"SCO",1994,71,Male,526,18247
"SCO",1994,72,Male,525,18549
"SCO",1994,73,Male,524,17669
"SCO",1994,74,Male,523,17391
"SCO",1994,75,Male,522,11250
"SCO",1994,76,Male,521,10278
"SCO",1994,77,Male,520,10300
"SCO",1994,78,Male,519,10038
"SCO",1994,79,Male,518,9870
"SCO",1994,80,Male,517,8836
"SCO",1994,81,Male,516,8043
"SCO",1994,82,Male,515,6799
"SCO",1994,83,Male,514,5863
"SCO",1994,84,Male,513,5045
"SCO",1994,85,Male,512,4204
"SCO",1994,86,Male,511,3420
"SCO",1994,87,Male,510,2612
"SCO",1994,88,Male,509,2098
"SCO",1994,89,Male,508,1613
"SCO",1994,90 & over,Male,507,4122
"SCO",1995,16,Male,1600,32058
"SCO",1995,17,Male,1700,29270
"SCO",1995,18,Male,1800,29096
"SCO",1995,19,Male,1900,32311
"SCO",1995,20,Male,2000,32835
"SCO",1995,21,Male,1950,33878
"SCO",1995,22,Male,1900,35850
"SCO",1995,23,Male,1850,37189
"SCO",1995,24,Male,1800,38549
"SCO",1995,25,Male,1750,38128
"SCO",1995,26,Male,1700,39128
"SCO",1995,27,Male,1650,39682
"SCO",1995,28,Male,1600,40715
"SCO",1995,29,Male,1550,39201
"SCO",1995,30,Male,1500,40851
"SCO",1995,31,Male,1450,40309
"SCO",1995,32,Male,1400,39784
"SCO",1995,33,Male,1350,39852
"SCO",1995,34,Male,1300,39214
"SCO",1995,35,Male,1250,38707
"SCO",1995,36,Male,1200,37790
"SCO",1995,37,Male,1150,36577
"SCO",1995,38,Male,1100,35816
"SCO",1995,39,Male,1050,35455
"SCO",1995,40,Male,1000,33922
"SCO",1995,41,Male,950,33912
"SCO",1995,42,Male,900,33248
"SCO",1995,43,Male,850,32034
"SCO",1995,44,Male,800,33171
"SCO",1995,45,Male,750,33606
"SCO",1995,46,Male,700,34767
"SCO",1995,47,Male,650,36182
"SCO",1995,48,Male,649,39354
"SCO",1995,49,Male,648,30548
"SCO",1995,50,Male,647,29207
"SCO",1995,51,Male,646,30257
"SCO",1995,52,Male,645,29431
"SCO",1995,53,Male,644,27497
"SCO",1995,54,Male,643,25969
"SCO",1995,55,Male,642,27055
"SCO",1995,56,Male,641,26989
"SCO",1995,57,Male,640,26900
"SCO",1995,58,Male,639,26095
"SCO",1995,59,Male,638,25847
"SCO",1995,60,Male,637,25221
"SCO",1995,61,Male,636,24623
"SCO",1995,62,Male,635,24041
"SCO",1995,63,Male,634,24368
"SCO",1995,64,Male,633,23928
"SCO",1995,65,Male,632,23117
"SCO",1995,66,Male,631,22612
"SCO",1995,67,Male,630,21327
"SCO",1995,68,Male,629,20967
"SCO",1995,69,Male,628,20932
"SCO",1995,70,Male,627,19437
"SCO",1995,71,Male,626,18768
"SCO",1995,72,Male,625,17343
"SCO",1995,73,Male,624,17522
"SCO",1995,74,Male,623,16687
"SCO",1995,75,Male,622,16355
"SCO",1995,76,Male,621,10532
"SCO",1995,77,Male,620,9452
"SCO",1995,78,Male,619,9464
"SCO",1995,79,Male,618,9197
"SCO",1995,80,Male,617,8910
"SCO",1995,81,Male,616,7957
"SCO",1995,82,Male,615,7176
"SCO",1995,83,Male,614,5961
"SCO",1995,84,Male,613,5106
"SCO",1995,85,Male,612,4306
"SCO",1995,86,Male,611,3565
"SCO",1995,87,Male,610,2880
"SCO",1995,88,Male,609,2146
"SCO",1995,89,Male,608,1706
"SCO",1995,90 & over,Male,607,4424
"SCO",1996,16,Male,1700,32901
"SCO",1996,17,Male,1800,31740
"SCO",1996,18,Male,1900,28930
"SCO",1996,19,Male,2000,29860
"SCO",1996,20,Male,2100,32449
"SCO",1996,21,Male,2050,32627
"SCO",1996,22,Male,2000,33257
"SCO",1996,23,Male,1950,34890
"SCO",1996,24,Male,1900,36237
"SCO",1996,25,Male,1850,37792
"SCO",1996,26,Male,1800,37415
"SCO",1996,27,Male,1750,38638
"SCO",1996,28,Male,1700,39185
"SCO",1996,29,Male,1650,40246
"SCO",1996,30,Male,1600,38835
"SCO",1996,31,Male,1550,40512
"SCO",1996,32,Male,1500,39971
"SCO",1996,33,Male,1450,39624
"SCO",1996,34,Male,1400,39572
"SCO",1996,35,Male,1350,39019
"SCO",1996,36,Male,1300,38427
"SCO",1996,37,Male,1250,37594
"SCO",1996,38,Male,1200,36447
"SCO",1996,39,Male,1150,35652
"SCO",1996,40,Male,1100,35318
"SCO",1996,41,Male,1050,33843
"SCO",1996,42,Male,1000,33818
"SCO",1996,43,Male,950,33183
"SCO",1996,44,Male,900,32000
"SCO",1996,45,Male,850,33056
"SCO",1996,46,Male,800,33522
"SCO",1996,47,Male,750,34661
"SCO",1996,48,Male,749,36049
"SCO",1996,49,Male,748,39178
"SCO",1996,50,Male,747,30411
"SCO",1996,51,Male,746,29104
"SCO",1996,52,Male,745,30096
"SCO",1996,53,Male,744,29228
"SCO",1996,54,Male,743,27352
"SCO",1996,55,Male,742,25788
"SCO",1996,56,Male,741,26788
"SCO",1996,57,Male,740,26691
"SCO",1996,58,Male,739,26638
"SCO",1996,59,Male,738,25767
"SCO",1996,60,Male,737,25518
"SCO",1996,61,Male,736,24886
"SCO",1996,62,Male,735,24186
"SCO",1996,63,Male,734,23553
"SCO",1996,64,Male,733,23845
"SCO",1996,65,Male,732,23337
"SCO",1996,66,Male,731,22465
"SCO",1996,67,Male,730,21918
"SCO",1996,68,Male,729,20614
"SCO",1996,69,Male,728,20118
"SCO",1996,70,Male,727,20036
"SCO",1996,71,Male,726,18540
"SCO",1996,72,Male,725,17821
"SCO",1996,73,Male,724,16414
"SCO",1996,74,Male,723,16515
"SCO",1996,75,Male,722,15684
"SCO",1996,76,Male,721,15264
"SCO",1996,77,Male,720,9742
"SCO",1996,78,Male,719,8674
"SCO",1996,79,Male,718,8595
"SCO",1996,80,Male,717,8281
"SCO",1996,81,Male,716,7978
"SCO",1996,82,Male,715,7056
"SCO",1996,83,Male,714,6254
"SCO",1996,84,Male,713,5172
"SCO",1996,85,Male,712,4374
"SCO",1996,86,Male,711,3666
"SCO",1996,87,Male,710,2947
"SCO",1996,88,Male,709,2381
"SCO",1996,89,Male,708,1682
"SCO",1996,90 & over,Male,707,4625
"SCO",1997,16,Male,1800,33644
"SCO",1997,17,Male,1900,32577
"SCO",1997,18,Male,2000,31400
"SCO",1997,19,Male,2100,29713
"SCO",1997,20,Male,2200,29963
"SCO",1997,21,Male,2150,32152
"SCO",1997,22,Male,2100,31926
"SCO",1997,23,Male,2050,32166
"SCO",1997,24,Male,2000,33917
"SCO",1997,25,Male,1950,35387
"SCO",1997,26,Male,1900,37073
"SCO",1997,27,Male,1850,36751
"SCO",1997,28,Male,1800,38170
"SCO",1997,29,Male,1750,38749
"SCO",1997,30,Male,1700,39853
"SCO",1997,31,Male,1650,38508
"SCO",1997,32,Male,1600,40227
"SCO",1997,33,Male,1550,39687
"SCO",1997,34,Male,1500,39435
"SCO",1997,35,Male,1450,39408
"SCO",1997,36,Male,1400,38815
"SCO",1997,37,Male,1350,38177
"SCO",1997,38,Male,1300,37418
"SCO",1997,39,Male,1250,36380
"SCO",1997,40,Male,1200,35605
"SCO",1997,41,Male,1150,35254
"SCO",1997,42,Male,1100,33775
"SCO",1997,43,Male,1050,33768
"SCO",1997,44,Male,1000,33163
"SCO",1997,45,Male,950,31969
"SCO",1997,46,Male,900,32941
"SCO",1997,47,Male,850,33390
"SCO",1997,48,Male,849,34585
"SCO",1997,49,Male,848,35909
"SCO",1997,50,Male,847,39050
"SCO",1997,51,Male,846,30328
"SCO",1997,52,Male,845,28954
"SCO",1997,53,Male,844,29916
"SCO",1997,54,Male,843,29046
"SCO",1997,55,Male,842,27174
"SCO",1997,56,Male,841,25557
"SCO",1997,57,Male,840,26523
"SCO",1997,58,Male,839,26416
"SCO",1997,59,Male,838,26393
"SCO",1997,60,Male,837,25441
"SCO",1997,61,Male,836,25198
"SCO",1997,62,Male,835,24531
"SCO",1997,63,Male,834,23785
"SCO",1997,64,Male,833,23038
"SCO",1997,65,Male,832,23239
"SCO",1997,66,Male,831,22726
"SCO",1997,67,Male,830,21827
"SCO",1997,68,Male,829,21224
"SCO",1997,69,Male,828,19924
"SCO",1997,70,Male,827,19298
"SCO",1997,71,Male,826,19192
"SCO",1997,72,Male,825,17673
"SCO",1997,73,Male,824,16844
"SCO",1997,74,Male,823,15463
"SCO",1997,75,Male,822,15531
"SCO",1997,76,Male,821,14636
"SCO",1997,77,Male,820,14167
"SCO",1997,78,Male,819,9032
"SCO",1997,79,Male,818,7869
"SCO",1997,80,Male,817,7800
"SCO",1997,81,Male,816,7403
"SCO",1997,82,Male,815,7075
"SCO",1997,83,Male,814,6193
"SCO",1997,84,Male,813,5437
"SCO",1997,85,Male,812,4424
"SCO",1997,86,Male,811,3681
"SCO",1997,87,Male,810,3081
"SCO",1997,88,Male,809,2455
"SCO",1997,89,Male,808,1902
"SCO",1997,90 & over,Male,807,4837
"SCO",1998,16,Male,1900,31753
"SCO",1998,17,Male,2000,33307
"SCO",1998,18,Male,2100,32304
"SCO",1998,19,Male,2200,32327
"SCO",1998,20,Male,2300,29928
"SCO",1998,21,Male,2250,29677
"SCO",1998,22,Male,2200,31531
"SCO",1998,23,Male,2150,31012
"SCO",1998,24,Male,2100,31233
"SCO",1998,25,Male,2050,33097
"SCO",1998,26,Male,2000,34547
"SCO",1998,27,Male,1950,36491
"SCO",1998,28,Male,1900,36264
"SCO",1998,29,Male,1850,37687
"SCO",1998,30,Male,1800,38327
"SCO",1998,31,Male,1750,39562
"SCO",1998,32,Male,1700,38273
"SCO",1998,33,Male,1650,39971
"SCO",1998,34,Male,1600,39421
"SCO",1998,35,Male,1550,39307
"SCO",1998,36,Male,1500,39317
"SCO",1998,37,Male,1450,38580
"SCO",1998,38,Male,1400,37937
"SCO",1998,39,Male,1350,37300
"SCO",1998,40,Male,1300,36375
"SCO",1998,41,Male,1250,35613
"SCO",1998,42,Male,1200,35199
"SCO",1998,43,Male,1150,33708
"SCO",1998,44,Male,1100,33708
"SCO",1998,45,Male,1050,33095
"SCO",1998,46,Male,1000,31953
"SCO",1998,47,Male,950,32872
"SCO",1998,48,Male,949,33371
"SCO",1998,49,Male,948,34519
"SCO",1998,50,Male,947,35806
"SCO",1998,51,Male,946,38899
"SCO",1998,52,Male,945,30220
"SCO",1998,53,Male,944,28836
"SCO",1998,54,Male,943,29786
"SCO",1998,55,Male,942,28919
"SCO",1998,56,Male,941,26921
"SCO",1998,57,Male,940,25370
"SCO",1998,58,Male,939,26321
"SCO",1998,59,Male,938,26174
"SCO",1998,60,Male,937,26161
"SCO",1998,61,Male,936,25105
"SCO",1998,62,Male,935,24868
"SCO",1998,63,Male,934,24111
"SCO",1998,64,Male,933,23363
"SCO",1998,65,Male,932,22595
"SCO",1998,66,Male,931,22686
"SCO",1998,67,Male,930,22133
"SCO",1998,68,Male,929,21190
"SCO",1998,69,Male,928,20510
"SCO",1998,70,Male,927,19187
"SCO",1998,71,Male,926,18517
"SCO",1998,72,Male,925,18298
"SCO",1998,73,Male,924,16839
"SCO",1998,74,Male,923,15936
"SCO",1998,75,Male,922,14511
"SCO",1998,76,Male,921,14495
"SCO",1998,77,Male,920,13590
"SCO",1998,78,Male,919,13096
"SCO",1998,79,Male,918,8311
"SCO",1998,80,Male,917,7179
"SCO",1998,81,Male,916,7004
"SCO",1998,82,Male,915,6584
"SCO",1998,83,Male,914,6261
"SCO",1998,84,Male,913,5458
"SCO",1998,85,Male,912,4703
"SCO",1998,86,Male,911,3815
"SCO",1998,87,Male,910,3102
"SCO",1998,88,Male,909,2549
"SCO",1998,89,Male,908,1997
"SCO",1998,90 & over,Male,907,5201
"SCO",1999,16,Male,2000,31223
"SCO",1999,17,Male,2100,31359
"SCO",1999,18,Male,2200,33084
"SCO",1999,19,Male,2300,33340
"SCO",1999,20,Male,2400,32620
"SCO",1999,21,Male,2350,29861
"SCO",1999,22,Male,2300,29219
"SCO",1999,23,Male,2250,30713
